X;Force
 M;Newtons
10,9771;17,094
10,9871;19,31
10,997;17,763
11,007;15,191
11,017;12,655
11,0269;11,877
11,0369;13,773
11,0469;14,939
11,0569;15,171
11,0668;15,526
11,0768;12,934
11,0868;12,341
11,0967;14,046
11,1067;14,339
11,1167;14,346
11,1266;14,796
11,1366;12,791
11,1466;12,014
11,1566;11,53
11,1665;11,297
11,1765;13,596
11,1865;16,276
11,1964;17,285
11,2064;17,156
11,2164;18,377
11,2263;20,381
11,2363;21,84
11,2463;21,268
11,2563;18,677
11,2662;16,357
11,2762;16,167
11,2862;16,876
11,2961;15,731
11,3061;14,469
11,3161;14,857
11,326;13,501
11,336;11,857
11,346;12,737
11,356;16,985
11,3659;20,914
11,3759;21,357
11,3859;19,522
11,3958;18,267
11,4058;17,851
11,4158;17,92
11,4257;18,451
11,4357;19,16
11,4457;17,865
11,4557;12,791
11,4656;8,031
11,4756;8,208
11,4856;10,07
11,4955;12,825
11,5055;14,387
11,5155;14,591
11,5254;15,321
11,5354;16,664
11,5454;15,089
11,5554;13,023
11,5653;14,046
11,5753;16,167
11,5853;17,927
11,5952;18,806
11,6052;19,434
11,6152;17,606
11,6251;14,332
11,6351;12,559
11,6451;14,284
11,6551;16,937
11,665;16,514
11,675;16,262
11,685;16,611
11,6949;15,914
11,7049;15,764
11,7149;16,324
11,7248;15,628
11,7348;13,644
11,7448;13,351
11,7548;15,457
11,7647;14,837
11,7747;12,034
11,7847;10,671
11,7946;10,731
11,8046;11,639
11,8146;12,239
11,8246;11,564
11,8345;10,875
11,8445;11,121
11,8545;12,02
11,8644;16,051
11,8744;21,486
11,8844;24,903
11,8943;25,85
11,9043;27,597
11,9143;30,079
11,9243;28,258
11,9342;25,032
11,9442;21,009
11,9542;16,085
11,9641;14,674
11,9741;15,969
11,9841;14,981
11,994;12,559
12,004;11,318
12,014;11,768
12,024;13,18
12,0339;14,339
12,0439;13,22
12,0539;11,823
12,0638;11,25
12,0738;11,414
12,0838;12,88
12,0937;14,755
12,1037;17,511
12,1137;21,827
12,1237;22,387
12,1336;20,395
12,1436;18,574
12,1536;15,942
12,1635;13,555
12,1735;12,908
12,1835;13,977
12,1934;14,074
12,2034;12,457
12,2134;11,223
12,2234;10,793
12,2333;13,166
12,2433;19,331
12,2533;24,943
12,2632;26,567
12,2732;24,262
12,2832;20,995
12,2931;18,642
12,3031;17,067
12,3131;15,137
12,3231;13,555
12,333;12,396
12,343;13,848
12,353;15,662
12,3629;16,904
12,3729;17,04
12,3829;16,33
12,3928;16,221
12,4028;17,694
12,4128;18,799
12,4228;17,735
12,4327;14,993
12,4427;13,548
12,4527;13,364
12,4626;14,127
12,4726;14,36
12,4826;13,48
12,4925;13,234
12,5025;14,182
12,5125;16,535
12,5225;18,384
12,5324;17,954
12,5424;16,733
12,5524;17,169
12,5623;15,997
12,5723;14,257
12,5823;12,961
12,5922;12,096
12,6022;12,218
12,6122;14,831
12,6222;16,473
12,6321;16,651
12,6421;14,284
12,6521;12,594
12,662;12
12,672;11,407
12,682;11,747
12,6919;13,268
12,7019;14,598
12,7119;15,812
12,7219;17,306
12,7318;18,158
12,7418;18,567
12,7518;20,831
12,7617;21,84
12,7717;19,993
12,7817;16,992
12,7917;14,619
12,8016;12,491
12,8116;11,277
12,8216;11,236
12,8315;12,805
12,8415;14,196
12,8515;14,421
12,8614;15,826
12,8714;18,486
12,8814;21,002
12,8914;21,977
12,9013;20,838
12,9113;17,354
12,9213;14,094
12,9312;13,118
12,9412;13,984
12,9512;15,11
12,9611;15,014
12,9711;15,955
12,9811;17,271
12,9911;18,513
13,001;19,106
13,011;16,549
13,021;13,998
13,0309;12,866
13,0409;12,144
13,0509;12,287
13,0608;11,932
13,0708;13,337
13,0808;15,321
13,0908;15,621
13,1007;16,256
13,1107;15,485
13,1207;16,14
13,1306;17,394
13,1406;17,511
13,1506;14,741
13,1605;12,587
13,1705;13,78
13,1805;15,88
13,1905;18,37
13,2004;22,032
13,2104;25,585
13,2204;26,185
13,2303;25,319
13,2403;23,573
13,2503;18,39
13,2602;12,751
13,2702;10,697
13,2802;11,57
13,2902;13,391
13,3001;15,055
13,3101;14,564
13,3201;12,927
13,33;11,761
13,34;11,734
13,35;12,825
13,3599;13,807
13,3699;14,025
13,3799;13,834
13,3899;14,531
13,3998;15,444
13,4098;16,351
13,4198;16,371
13,4297;16,283
13,4397;14,598
13,4497;13,248
13,4596;12,859
13,4696;15,131
13,4796;17,722
13,4896;18,963
13,4995;19,447
13,5095;16,794
13,5195;14,319
13,5294;13,841
13,5394;15,553
13,5494;19,7
13,5593;22,195
13,5693;20,614
13,5793;19,324
13,5893;19,127
13,5992;19,747
13,6092;19,727
13,6192;18,008
13,6291;15,069
13,6391;13,377
13,6491;12,784
13,6591;12,873
13,669;13,95
13,679;15,921
13,689;17,613
13,6989;18,049
13,7089;17,23
13,7189;16,671
13,7288;16,207
13,7388;15,041
13,7488;13,964
13,7588;13,773
13,7687;14,367
13,7787;15,533
13,7887;16,801
13,7986;18,41
13,8086;19,413
13,8186;19,55
13,8285;17,661
13,8385;16,364
13,8485;17,326
13,8585;18,042
13,8684;18,274
13,8784;18,792
13,8884;19,017
13,8983;18,936
13,9083;18,39
13,9183;17,613
13,9282;17,32
13,9382;16,842
13,9482;16,351
13,9582;16,576
13,9681;17,661
13,9781;18,26
13,9881;17,326
13,998;16,556
14,008;15,628
14,018;15,233
14,0279;15,41
14,0379;13,46
14,0479;11,897
14,0579;11,495
14,0678;12,041
14,0778;11,809
14,0878;12,423
14,0977;15,314
14,1077;15,369
14,1177;13,111
14,1276;12,266
14,1376;13,903
14,1476;16,473
14,1576;19,188
14,1675;18,601
14,1775;16,297
14,1875;14,393
14,1974;13,61
14,2074;12,913
14,2174;12,457
14,2273;12,116
14,2373;11,904
14,2473;12,784
14,2573;13,882
14,2672;14,169
14,2772;13,514
14,2872;14,107
14,2971;15,819
14,3071;16,167
14,3171;15,826
14,327;17,169
14,337;21,718
14,347;21,807
14,357;18,342
14,3669;15,976
14,3769;13,91
14,3869;13,037
14,3968;15
14,4068;17,804
14,4168;18,377
14,4267;17,701
14,4367;17,285
14,4467;14,919
14,4567;13,03
14,4666;12,723
14,4766;12,587
14,4866;12,661
14,4965;13,705
14,5065;14,571
14,5165;14,734
14,5265;15,205
14,5364;15,307
14,5464;15,376
14,5564;16,276
14,5663;16,604
14,5763;17,265
14,5863;16,944
14,5962;15,219
14,6062;13,575
14,6162;13,044
14,6262;13,16
14,6361;14,598
14,6461;17,108
14,6561;17,38
14,666;14,967
14,676;14,326
14,686;15,212
14,6959;14,537
14,7059;12,573
14,7159;11,57
14,7259;12,901
14,7358;15,731
14,7458;18,131
14,7558;18,67
14,7657;18,192
14,7757;19,42
14,7857;23,355
14,7956;26,15
14,8056;24,827
14,8156;19,952
14,8256;15,328
14,8355;12,901
14,8455;11,393
14,8555;10,214
14,8654;10,854
14,8754;14,291
14,8854;18,765
14,8953;23,348
14,9053;25,933
14,9153;26,547
14,9253;26,907
14,9352;25,243
14,9452;21,916
14,9552;18,26
14,9651;14,748
14,9751;14,407
14,9851;16,454
14,995;19,195
15,005;21,725
15,015;21,821
15,025;19,447
15,0349;16,754
15,0449;14,169
15,0549;14,578
15,0648;15,281
15,0748;16,48
15,0848;17,851
15,0947;17,64
15,1047;16,235
15,1147;14,741
15,1247;14,462
15,1346;15,553
15,1446;16,597
15,1546;18,329
15,1645;16,761
15,1745;15,021
15,1845;14,067
15,1944;13,63
15,2044;13,084
15,2144;13,603
15,2244;15,314
15,2343;16,623
15,2443;17,722
15,2543;21,2
15,2642;21,179
15,2742;20,893
15,2842;18,86
15,2941;15,914
15,3041;13,767
15,3141;12,887
15,3241;13,125
15,334;14,939
15,344;17,251
15,354;18,472
15,3639;19,208
15,3739;19,857
15,3839;19,795
15,3938;18,356
15,4038;16,105
15,4138;14,278
15,4238;12,873
15,4337;11,932
15,4437;12,3
15,4537;15,56
15,4636;21,732
15,4736;26,642
15,4836;27,808
15,4936;25,196
15,5035;23,375
15,5135;21,759
15,5235;19,522
15,5334;17,006
15,5434;15,267
15,5534;15,131
15,5633;18,506
15,5733;23,477
15,5833;24,712
15,5933;21,131
15,6032;18,315
15,6132;15,724
15,6232;14,319
